guild_id,room_id,room_name,has_exp,exp_value,has_command_stats
474935164451946506,1034198380907335720,mc,1,1,1
474935164451946506,1113453933508169728,,0,1,0
474935164451946506,1121084292945154089,beby,1,1,1
474935164451946506,691006088639807530,afj,1,1,1
474935164451946506,691006700970311712,andromeda,1,1,1
474935164451946506,691009622571483157,r6,1,1,1
474935164451946506,717461111963648082,lol,1,1,1
474935164451946506,729746548082081842,magellano,1,1,1
474935164451946506,733274067917996123,,1,1.01,1
474935164451946506,742514782615371776,ranked,1,1,1
474935164451946506,911000928176459776,lol 2,1,1,1
474935164451946506,938513359626715176,,0,1,0
608967318789160970,1094186373134688357,,1,2,1
608967318789160970,1094186418705793097,,1,1.1,0
608967318789160970,1094193394638671912,gumaaaaa,1,1,1
608967318789160970,1103989963000922122,,1,1.2,0
608967318789160970,1132977374099669052,,1,1.3,0
608967318789160970,608968468145897472,aaa,1,1,1
608967318789160970,709845730235252747,a,1,1,1
608967318789160970,709845762133196994,bb,1,1,1
